operationdistrict,capitaldistrict,euidistrict,operationdoasvrf,capitaldoasvrf,euidoasvrf,operationvav,capitalvav,euivav
985880.8252,2325107.193,179.8113643,1036024.656,2675658.912,108.8857603,727539.972,2961917.292,250.9269107
910719.9862,2298003.465,173.320923,820509.8736,3221319.947,68.97373817,815524.2442,2420743.027,255.3163602
1016477.268,2879537.485,190.6395482,1001224.721,2774939.783,84.37787209,812445.3183,2788069.668,275.9387724
998704.2584,1685565.848,183.655396,809368.7913,3561206.555,59.20234749,761207.4382,2824990.204,256.851223
995897.3421,1900857.711,184.3116952,1017579.22,2724882.663,131.9313579,919304.5524,2828198.666,274.9490818
997021.9075,1994333.051,193.4556356,910719.9862,2760825.703,88.75048115,735579.5153,2665807.539,272.9170252
916319.3751,2749811.982,150.1920986,927460.4574,2700535.701,88.42733417,676302.0918,3079819.081,247.8842286
628245.27,3191990.37,147.93,796753.66,3518353.995,67.06,871236.9479,2445737.215,258.873709
1087699.85,1591336.63,214.24,952327.13,2770765.691,82.81,764286.364,2479221.538,257.4043687
1051300.29,1634190.79,194.13,757699.72,3534459.976,63.06,783252.6757,2951479.192,263.8154293
926086.4,1809785.78,173.82,1051082.55,2272631.542,95.51,823563.7875,2025986.373,273.3283282
929430.76,2559237.47,172.18,815369,3298182.601,69.26,956142.2942,2018324.033,277.2732834
947327.77,1914669.95,160.73,994332.32,2406860.607,87.36,711071.5104,3221781.933,241.9484729
1062432.66,1951828.71,192.33,936798.86,2833821.563,82.08,914068.5228,2106282.202,280.140454
969693.11,1699847.74,189.37,879971.26,3202762.022,76.55,711071.5104,3311703.53,246.8283623
752430.79,2664913.51,148.09,984386.24,2221477.598,86.3,836467.5294,2726069.664,258.3448423
927819.04,2169113.79,169.05,1102796.88,2510914.805,97.9,902198.02,2031624.336,283.71
1029365.71,1943823.77,152.31,1104321.05,3300299.567,98.2,693255.69,3036895.46,229.14
967347.02,1713748.49,187.8,895965.34,2955862.128,77.45,688784.3,2778502.137,243.51
1152217.56,1862681.6,212.32,1100597.26,2263901.264,99.32,795697.46,2659507.768,265.35
991272.76,2907557.85,167.65,945441.95,2653616.165,83.18,984288.07,2042963.107,296.75
928265.27,2243326.03,176.54,895168.88,3016388.785,78.64,801936.03,2482063.704,263.22
1105512.1,2285600.91,181.28,1032233.52,2335963.854,91.22,654350.94,3080920.483,248.79
1114984.01,2586411.84,159.33,835166.35,3293185.51,71.19,874256.81,2377918.724,285.42
1125756.43,1957136.04,187.14,985246.29,2779793.021,87.45,645158.73,3095282.63,243.71
937993.79,1994643.21,183.09,926483.89,3049546.342,81.62,801972.66,2665955.536,275.26
1150449.29,1949715.52,211.19,956277.33,2593854.199,84.65,931567.61,2334274.652,289.17
1032475.82,2288611.17,190.11,905369.34,2916551.741,78.66,782148.48,2884791.519,238.79
662012.53,2786413.58,147.86,945339.15,2516421.805,84.1,1052118.15,2315670.501,337.86
1107617.92,1890871.77,218.47,965033.48,2638600.02,84.92,762641.62,2583618.969,244.17
1100890.72,2269791.83,154.73,934334.2,3260346.369,81.67,870785.87,2553157.642,282.36
1075748.53,2379223.38,193.77,927688.21,3551136.885,81.77,799527.01,2726105.826,262.43
819856.92,2418439.42,178.14,1095372.294,2632118.916,107.3402894,845573.05,2507884.905,278.94
1031265.65,2498774.22,152.02,969346.6735,3177375.298,100.3591003,798851.15,2576113.399,242.32
695690.75,3215296.21,152.55,927668.0328,3284078.458,77.58769189,919022.47,2505877.085,289.19
990743.57,2109146.78,190.39,821086.5722,3331922.882,71.96517344,981005.66,2534808.796,333.89
1050317.63,2078215.97,194.85,808836.0927,3160247.694,77.32077998,927796.34,2114825.224,274.25
821742.32,2334313.08,169.17,847742.9608,3065686.118,65.24256493,823442.85,2533203.933,261.96
839584.57,2527111.96,155.96,949922.8939,2914488.444,77.04443156,823457.27,2058270.332,270.45
631410.38,2780953.79,157.13,889359.1648,3032623.341,83.18836657,778164.38,2282246.181,239.03
778739.4855,3207841.933,146.3573488,1058219.764,3315050.536,107.221619,719190.08,2853579.112,248.76
936676.3451,2753585.622,172.7153006,1016002.682,2815911.153,100.9789435,913448.16,2123209.143,264.66
955455.4914,2074618.533,183.0710777,1240223.847,2051153.384,134.381112,801241.1,2879842.9,244.99
870060.9939,3053722.394,161.2010208,954243.3456,2703720.368,72.22050411,780289.72,2640597.565,239.88
1178684.473,1871496.972,192.1363535,971778.3916,2740062.26,90.40334848,775944.9,2685447.388,260.04
1113044.767,2100470.244,212.2790565,917090.8151,3368255.648,73.35665748,795485.81,2828222.632,240.21
985142.4993,2030377.217,193.9157747,957693.955,2527739.933,84.87623966,645158.73,3095282.63,243.71
964407.9954,2966711.879,163.0019276,869769.0903,3327719.969,65.19913118,911050.1616,2277994.14,279.6720195
957284.3556,2495191.131,169.3209913,962297.6939,2809362.856,82.59825315,660689.6937,3511525.595,239.9696156
922708.33,2453718.558,161.6719236,978372.6505,2491412.213,85.83059867,903513.8008,3173910.881,287.7129204
