operationall,capitalall,euiall,operationpareto,capitalpareto,euipareto
1075291.511,2789156.094,121.5970757,,,
836467.5294,2782870.661,244.0864404,,,
777653.2868,2946248.423,239.7116808,,,
998726.8715,2082375.423,172.006207,,,
775970.9358,2984368.973,258.7234675,,,
808242.5043,2498341.937,250.9176593,,,
1035994.14,2447334.972,95.05224154,,,
1016454.655,2659587.634,109.6326589,,,
912696.9598,3023056.439,74.12867702,,,
947488.9913,2651414.981,93.16217767,,,
814422.2919,2456742.069,267.0675376,,,
956630.487,2211076.498,84.8876602,,,
676302.0918,3077495.182,252.5412793,,,
900429.5905,2348061.469,254.8475568,,,
951111.4067,2867647.162,160.9450449,,,
1001224.721,2760316.274,91.43411895,,,
835342.964,2824384.635,249.0933225,,,
1001202.108,2166654.238,192.0902629,,,
993440.0782,2348862.257,286.8958405,,,
777947.9093,2756802.522,258.3001846,,,
829185.7895,2823371.95,247.2500183,,,
818532.9001,3271024.416,64.06252445,,,
1003179.082,2262883.371,166.8634591,,,
997021.9075,1970165.006,186.9647767,,,
942682.4884,2663874.101,165.9159346,,,
862583.645,2790312.08,152.6146717,,,
1040499.479,2778746.193,187.1528233,,,
927460.4574,2837675.508,64.51351354,,,
949986.8413,2496626.241,171.3958219,,,
816897.5288,2626869.229,259.6203037,,,
945489.4048,2322705.39,154.9816936,,,
847214.7368,2454283.011,262.1375953,,,
943807.0538,2937656.944,68.61762285,,,
844160.8229,3283466.443,157.8059917,,,
819999.0677,2935627.366,255.2484966,,,
852200.3662,2549442.655,166.9517475,,,
876222.5773,2831455.341,82.63203264,,,
797101.4221,2855906.405,252.8919582,,,
916319.3751,2610313.898,174.6532884,,,
1161298.809,2342757.889,127.2247653,,,
1054439.575,2075300.012,173.966285,,,
895376.09,2697727.724,156.2202763,,,
969534.2288,2262089.689,172.2555131,,,
828061.2241,2937040.883,254.4012388,,,
906028.9794,2345754.741,260.5127103,,,
820021.6808,3166005.671,251.2303028,,,
1086137.97,2336249.143,122.1275628,,,
910719.9862,2292603.048,178.8787661,,,
1075291.511,2789156.094,121.5970757,,,
1004303.647,1959405.543,193.1769997,,,
1035994.14,2448087.592,98.80849983,,,
991422.5186,2203053.348,96.77714851,,,
904904.414,2713725.951,260.3724714,,,
818022.0942,2924982.573,243.26893,,,
