operationnoshade,capitalnoshade,euinoshade,operationshade,capitalshade,euishade
819456.3277,3106613.975,266.244376,967347.02,1713748.49,187.8
888697.6625,2469958.465,147.4326765,895965.34,2955862.128,77.45
1096612.978,2097831.933,190.854987,991272.76,2907557.85,167.65
861566.8902,2666528.318,145.5612594,931567.61,2334274.652,289.17
929478.1787,2482562.56,182.553697,1052118.15,2315670.501,337.86
878831.0382,2568820.645,162.7140972,1100597.26,2263901.264,99.32
762438.4878,2822244.959,255.3239694,928265.27,2243326.03,176.54
844213.5918,2593396.387,263.4749887,870785.87,2553157.642,282.36
1082634.572,1701037.878,190.6727429,799527.01,2726105.826,262.43
971778.3916,2740062.26,90.40334848,1125756.43,1957136.04,187.14
917090.8151,3368255.648,73.35665748,1032475.82,2288611.17,190.11
831678.7252,2904654.426,157.9858035,662012.53,2786413.58,147.86
1132596.488,2220671.086,217.556845,1107617.92,1890871.77,218.47
997746.7698,2744604.306,162.5712671,919022.47,2505877.085,289.19
869769.0903,3327719.969,65.19913118,981005.66,2534808.796,333.89
637857.452,3511525.595,236.1120893,927796.34,2114825.224,274.25
962297.6939,2809362.856,82.59825315,823442.85,2533203.933,261.96
956608.9511,2663225.78,96.42585109,823457.27,2058270.332,270.45
938179.11,2369086.045,164.3707708,778164.38,2282246.181,239.03
887849.7413,2465835.068,162.4051542,835166.35,3293185.51,71.19
915607.3754,3008822.637,83.5526384,985246.29,2779793.021,87.45
695548.2824,3451174.421,238.8434519,1075748.53,2379223.38,193.77
959255.7397,2671997.267,89.56853097,695690.75,3215296.21,152.55
819209.4127,2856135.424,142.624674,780289.72,2640597.565,239.88
1002696.936,1936818.593,159.0046226,775944.9,2685447.388,260.04
1240223.847,2051153.384,134.381112,990743.57,2109146.78,190.39
870833.6057,2369081.154,248.0414988,1050317.63,2078215.97,194.85
957560.7423,2536530.265,155.9131888,956277.33,2593854.199,84.65
983315.3038,1799212.698,169.1099614,945339.15,2516421.805,84.1
1037555.525,2301935.156,70.27212897,839584.57,2527111.96,155.96
1015166.249,1858387.767,170.3489359,927688.21,3551136.885,81.77
979727.2674,2149383.131,152.8165956,631410.38,2780953.79,157.13
915744.8025,2319649.93,169.853328,1095372.294,2632118.916,107.3402894
842295.8433,2350033.837,255.2893718,969346.6735,3177375.298,100.3591003
1027124.728,2847971.134,101.2809352,911050.1616,2277994.14,279.6720195
950483.9517,2527594.97,298.4038138,903513.8008,3173910.881,287.7129204
1060463.502,2597607.097,103.0192951,936676.3451,2753585.622,172.7153006
945677.9988,2673829.187,83.2316497,921556.6944,2100577.582,277.6151532
985095.6253,2599123.828,87.63707491,870060.9939,3053722.394,161.2010208
795639.8351,2856844.149,257.4315209,908459.4226,2486872.197,278.4929172
